Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
Lutum,Any,Rare,Solitary or clan,Any,Special,Exceptional (15-16),"P,Q /individuals); D (in lair)",Lawful evil,1 or 1-8,7 (base),"12, 18 (rolling)",6,15,1 or 3,By weapon or 1-6/1-6/1-8,"Smothering, spells",See below,Nil,M (5' tall) to L (7' tall),Elite (14),"2,000"
"Lycanthrope, Loup de Noir",Boreal forest or plains,Very rare,Pack,Any (night),Carnivore,Average (8-10),D,Chaotic evil,1d6,3,15,6+3,13,1,2d6 or by weapon,Seize throat,See below,Nil,M (6' long),Elite (13-14),"1,400"
"Lycanthrope, Lythari",Forests (elven lands),Very rare,Solitary or pack,Nocturnal,Carnivore,Average-very (9-12),B,Chaotic Good,1 or 2-12,6,18,4,17,1,2-8 or by weapon,,Hit only by silver or enchanted weapons,Nil,M (10' long),Irregular (7),420
"Lycanthrope, Werebadger",Temperate hills and underground,Very rare,Solitarv,Any,Carnivore,Average (8-10),"M,Q,V",Chaotic evil,1,4,6. Br 3,5,15,3,1d6/1d6/1d4,Berserk frenzy,Silver or magical weapons required to hit,Nil,S (4' tall),Elite (13) or Fearless (20),650 (975 magical weapon)
"Lycanthrope, Werebat",Temperate woodlands,Rare,Flock,Night,Blood,Average (8-10),B,Neutral evil,45295,5,"9, Fl 15 (D)",4+2,17,3,1d4/1d4,See below,See below,Nil,M (6' tall),Steady (11-12),420
"Lycanthrope, Werebear",Cold or temperate regions,Rare,Solitary,Nocturnal,Omnivore,Exceptional (11-12),"R,T,X",Chaotic good,45295,2,9,7+3,13,3,1-3/1-3/2-8,Hug for 2-16,Hit only by silver or +1 or better magical weapons,Nil,L (6-9'),Elite (13-14),"1,400"
"Lycanthrope, Wereboar",Any dry land,Rare,Tribal,Any,Omnivore,Average (8-10),"B,S",Neutral,45330,4,12,5+2,15,1,2-12 or by weapon,Nil,Silver or +1 or better to hit,Nil,M (5-6' tall),Elite (13),650
"Lycanthrope, Werecrocodile","Desert, swamp",Rare,Pack,Day,Carnivore,Average (8-10),Nil,Neutral evil,45294,1,"3, sw 12",5+5,15,2,2d6/1d8,"Control 1d3 crocodiles, infection",Hit only by silver or magical weapons,Nil,"M (6' human), L (8-12' crocodile)",Elite (13-14),"650<br>Priest 1st-4th: 975<br>Priest 5th: 1,400"
"Lycanthrope, Werefox",Any,Very rare,Solitary,Nocturnal,Carnivore,Average to Exceptional (8-16),"E,Q(&times;5),S",Chaotic evil,1 (see below),"2, 4, or 6","24, 18, or 12",8+1,13,1,"1-2, 2-12, or by weapon","Charms, spells",Silver or +1 weapons to hit,Special (see below),M,Elite (13),"2,000"
"Lycanthrope, Werejaguar",Tropical/subtropical jungle,Uncommon,Solitary,Night,Carnivore,Very (11-12),D,Neutral evil,1,4,15,5+2,15,3 or 1,1d3 (&times;2)/2d4 or by weapon,Rear-claw rake,"Hit only by obsidian weapons, or by +1 or better weapons",Nil,M (6-7' long),Elite (13-14),975
"Lycanthrope, Werepanther",Tropical hills and mountains,Rare,"Pride, tribe",Any,Carnivore,Very (11-12),Nil (C),Lawful evil,"1-2 (24, lair)",4,12 (15 cat),5+1,15,2 weapons (2 claw/l bite cat),By weapon (1d3/1d3/1d6 cat),Scarring (rake 1d4/1d4 cat),Silver or +1 weapons to hit,Nil,M (5'4&rdquo; tall),Elite (14),"420<br>Panther Lord: 3,000+"
"Lycanthrope, Wererat",Any,Uncommon,Pack,Nocturnal,Scavenger,Very (11-12),C,Lawful evil,4-24 (4d6),6,12,3+1,17,1,By weapon,Nil,Hit only by silver or +1 or better weapons,Nil,S-M (3-6'),Steady (11-12),270
"Lycanthrope, Wereraven",Temperate Woodlands,Uncommon,Flock,Day,Omnivore,Genius (17-18),Q&times;10,Neutral good,2-8 (2d4),6,"1, Fl 27 (C)",4+2,17,1,2-12 (2d6),See below,See below,Nil,M (5' tall),Elite (13-14),420
"Lycanthrope, Wereshark",Any ocean,Very rare,Solitary,Any,Carnivore,Low to Exceptional (5-16),Nil (W; see below),Neutral evil,1,0,"12, sw 18",10+3,9,1 bite,5d4,"Surprise, swallow",Nil,Silver or +1 weapon to hit,L (20' long),Steady (11),"4,000"
"Lycanthrope, Werespider","Forest, urban",Very rare,Solitary,Any,Carnivore,Average (8-10),"M, human form; (B)",Neutral evil,1,4,"12, Wb 18",5+5,14,1,1d12 (1d4),Poison,Silver or magical weapons to hit,Nil,M (6' tall) or L (8' diameter),Steady (11-12),650
"Lycanthrope, Weretiger",Any wilderness,Very rare,Solitary,Nocturnal,Carnivore,Average (8-10),"D,Q(&times;5)",Neutral,45297,3,12,6+2,15,3,1-4/1-4/1-12,Rake for 2-5/2-5,Hit only by silver or +1 or better magical weapon,Nil,M or L (6-9'),Elite (13-14),975
"Lycanthrope, Werewolf",Any,Common,Pack,Nocturnal,Carnivore,Average (8-10),B,Chaotic evil,3-18 (3d6),5,15,4+3,15,1,8-Feb,Nil,Hit only by silver or +1 or better magical weapon,Nil,M (6' tall),Steady (12),420
Lythlyx,Any remote land or water,Rare,Solitary or group,Any,Carnivore,Average (8-10),Nil,Lawful neutral,1 or 3d6,1,"6, Fl 12 (A), Sw 8",5+6,15,1,See below,See below,See below,Nil,H (14-21' long),Elite (13-14),"2,000"
Magebane,"Tombs, ruins, subterranean",Rare,Solitary,Any,Magical energy,Low (5-7),Nil,Chaotic neutral,1,See below,"6, Fl 12 (A)",2+4,17,1,1d4+2,Tail whip,See below,See below,"S (1½' long, 3' wingspan)",Elite (13-14),"1,400"
Magedoom,Any,Very rare,Solitary,Any,Magic,Average (8-10),Nil,Lawful evil,1,-2,"18, Fl 18 (C)",10,11,2,3d8/3d8,Temporary spellcasting drain,3-foot-radius <i>anti-magic shell</i>,100%,L (8' tall),Fearless (19-20),"11,000"
Mahogany Constrictor,"Subtropical forest, marsh, or subterranean",Uncommon,Solitary,Any,ca·rnivore,Low (8-10),Nil,Neutral evil,Unknown,3,"9, Cl 3",4+3,15,1 or 1,3d6 + venom,Constriction (1d4/round),"Only surprised on a 1, displacement",Nil,H (21' long),Elite (14),"1,400"
Mammal,,,,,,,,,,,,,,,,,,,,,
Manni,Temperate forest and steppe,Rare,Flock,Dusk,Scavenger,Low (5-7),"P (Y&times;2,W)",Chaotic evil,45297,5,"9, FL 18",3,17,2,1-6 and by weapon,Nil,Nil,Nil,M (4-5'),Unsteady (5-7),65
Manotaur,Desolate rocky forests,Very rare,Solitary,Day,Carnivore,Average (8-10),"K,M (E)",Chaotic evil,1,4,24,13,7,3,1d6/1d6/1d8,Charge,Nil,Nil,"L (8' tall, 12' long)",Champion (15-16),"5,000"
Manscorpion,Tropical or subtropical desert or caves,Rare,"Squad, swarm, and city",Any,Carnivore,Low to genius (5-18),"J,K,M,Q (F,U&times;10)",Neutral evil,8 or more,5,12,12-Aug,8 HD: 13<br>9-10 HD: 11<br>11-12 HD: 9,3,"2-5/2-5/1-4 (claw/claw/tail), or by weapon and 2-5/1-4","Poison, possible spell use",Nil,20%,"L (6' tall, 4' long plus 10' tail)",Champion to fanatic (15-18),"4,000<br>9 HD squad leader: 5,000<br>9 HD squad spellcaster: 6,000<br>10 HD swarm leader: 6,000<br>10 HD swarm spellcaster: 8,000<br>11 HD noble: 7,000<br>11 HD sorcerer: 9,000<br>12 HD king or queen: 8,000<br>12 HD high cleric: 10,000"
Manticore,Any,Uncommon,Solitary,Any,Carnivore,Low (5-7),E,Lawful evil,45295,4,"12, Fl 18 (E)",6+3,13,3,1-3/1-3/1-8,Tail spikes,Nil,Nil,H (15'),Elite (13-14),975
Mantidrake,Any,Very rare,Solitary,Any,Carnivore,Low (5-7),Nil (E),Varies (see below),1d2,Black: 1; Blue: 0; Brown: 2; Green: 0; Red: -3; Shadow: -4; White: 1; Yellow: 0,"12, Fl 18 (E)",6+3,13,3,1d3/1d3/1d10 (claw/claw/bite),"Breath weapon, tail spikes","Immune to breath weapon of dragon parent and like attacks (spells, etc.)",Nil,H (25' long),Elite (13-14),"Black 3,000<br>Blue 4,000<br>Brown 3,000<br>Green 4,000<br>Red 4,000<br>Shadow 4,000<br>White 3,000<br>Yellow 4,000"
Mara,Variable,Rare,Group,Nocturnal,Special,Semi (2-4),Nil,Chaotic evil,45294,5,6,10,11,3,3-12/3-12/1-6,See below,See below,25%,L (20' tall),Elite (13-14),"5,000"
Marl,Temperate or tropical swamps and rivers,Rare,Solitary,Day,Carnivore,Average to Very (8-12),R,Neutral,14,6,"6, Sw 24",10,11,3 to 8,Constriction,"Immune to charms, mental attacks, and psionics",1d2+4 each or by weapon +4,Nil,G (40' long),Elite (14),"6,000"
Marrashi,"Jungle, desert",Rare,Solitary,Day,Carrion,Average (8-10),B,Lawful evil,1d3,5,"12, Fl 27 (B)",7,13 (12 with missile weapons),3,1d2(&times;2)/1d6 or by arrow type,"Missile weapons, disease",Immune to missile attacks,Nil,M (5' tall),Average (8-10),"2,000"
"Mastiff, Shadow",Demiplane of Shadow,Uncommon,Pack,Night or shadow,Living creatures,Semi- (2-4),Nil,Neutral evil,45398,6,18 (9 in bright light),4,17,1,2d4,Baying,Hide in shadows,Nil,M (5' at shoulder),Fanatic (17),420
Meazel,"Marshes, subterranean",Uncommon,Solitary,Night,Carnivore,Low (5-7),M (B),Chaotic evil,1,8,12,4,17,2,1d4/1d4,Nil,See below,Nil,M (4-5' tall),Steady (11-12),120
Meenlock,Any/Subterranean,Very rare,Band,"Night, any if tracking",Omnivore,Very (11-12),Nil,Lawful evil,45356,7,9,4,17,2,1-4/1-4,Paralyzation,Dimension door,Nil,T (2' tall),Steady (11-12),650
Mercurial,Hyper-reality,Very rare,Solitary (family),Any,Special,Supra-Genius (19-20),,Neutral,1 [1d6],-2 [0],15 [30],14,7,2,1d8+1/1d8+1 [2d8+2/2d8+2],"Borrow form, mental blast [wish]","Nil [+1 magical weapon or better to hit, regeneration]",20%,M (5-6'tall),Steady (11-12),"9,000 [26,000]"
Merman,Temperate/Oceans,Uncommon,Community,Any,Omnivore,Average-Very (8-12),"C,R",Neutral,20-200,7,"1, Sw 18",1+1,19,1,By weapon type,Grapple ship,Nil,Nil,M (5-6' long),Average (10),1 HD: 65<br>2 HD: 120<br>3 HD: 175<br>4 HD: 270<br>5 HD: 420<br>6 HD: 650<br>Shaman: 420
Metalmaster,Any land,Very rare,Solitary or hunting group,Any,"Carnivore, scavenger",Low (5-7),Nil,Chaotic neutral,1 or 1d4,6,12,4+4 to 6+6,4+4 or 5+5: 15<br>6+6: 13,1,3d4,Magnetism,See below,Nil,H (12-25' long),Elite (13-14),"4+4: 650<br>5+5: 975<br>6+6: 1,400"
"Mimic, Greater",Subterranean,Very rare,Solitary,Any,Carnivore,Very to High (12-14),Nil,Neutral,1,5 internal (2 external),1,15 or 16,5,1,6d4,"Surprise, glue",Camouflage,10%,"H (1,000+ cu.ft.)",Fanatic (17),"7,000-8,000"
"Mimic, Space",Wildspace,Very rare,Solitary,Any,Carnivore,High (13-14),V (U),Neutral,1,7,"3, Fl 18 (B)",12,9,1,3-12 (smash),Glue,Camouflage,Nil,L (varies),Champion (15),"5,000"
Mind Flayer,Any subterranean,Rare,Community,Any,Carnivore (brains),Genius (17-18),"S,T,X (B)",Lawful evil,45295,5,12,8+4,11,4,2; see below,"Mind blast, see below",Magical powers,90%,M (6' tall),Champion (15) + special,"9,000 (7,000 for psionic version)"
"Minion, Divine","Any/Desert, arid, or cities",Uncommon,Group,Any,Carnivore,High (13-14),Nil,Lawful evil,45311,-2,12 or see below,6 (25 hp),11 (15),1 or see below,1-12 or see below,Polymorph self,See below,10%,"Variable, M (6½' tall)",Champion (16),"1,400"
Minotaur,Temperate and subtropical labyrinths,Rare,Clan,Night,Carnivore (man-eater),Low (5-7),(C),Chaotic evil,45299,6,12,6+3,13,2,2-8/2-8 or 1-4/by weapon type,"Grapple, charge",+2 bonus on surprise roll,Nil,L (7½' tall),Elite (13) + Special,"1,400<br>Elder: 3,000"
"Minotaur, Krynn",Tropical and subtropical/Islands and seacoasts,Rare,Family,Any,Omnivore,Varies (5-18),"L,M (C)","Varies, but usually lawful evil",Patrol: 1-8; Settlement: 20-400,6 (5),12,6+3,13,2,2-8/1-4 (horns and bite) or by weapon,See below,See below,See below,L (7-8' tall),Elite (13),Varies
Misi,Wildspace/phlogiston,Very rare,Pack,Any,Magical energy,Very (11-12),Nil,Chaotic neutral,45297,0,12 (through any medium) (or SR 5),5,,1 (for entire pack),Special,See below,Injured only by spells,10%,S (3' tall),Unsteady (7),975
"Mist, Crimson Death","Bogs, swamps",Very rare,Solitary,Night,Carnivore,Genius (17-18),Z,Neutral evil,1,0 (4),"Fl 12, Fl 6 after feeding (B)",13,7,1,30-Mar,See below,See below,95%,M (60'),Champion (15-16),"9,000"
"Mist, Scarlet Dancer",Swamps/sewers,Rare,Cluster,Any,Carnivore,Semi- (2-4),S,Neutral,10-100,1 (8 after feeding),Fl 24 (A) (Fl 12 (B) after feeding),1 per 10 present,Varies by number of Hit Dice,1,1d3 per Hit Die,Blood drain,Nil,Nil,T (2' diameter),Champion (15-16),"10 dancers: 35<br>20 dancers: 65<br>30 dancers: 120<br>40 dancers: 175<br>50 dancers: 270<br>60 dancers: 420<br>70 dancers: 975<br>80 dancers: 1,400<br>90 dancers: 2,000<br>100 dancers: 3,000"
"Mist, Vampiric","Non-arctic/Swamps, subterranean",Rare,Solitary,Night,Blood,Average (8-10),(D),Neutral evil,45294,4 (8 when substantial),12 (6 when substantial),3,See below,1,8-Jan,See below,See below,See below,M (5-8' tall),Elite (13-14),270
Mite,Any/Subterranean,Rare,Tribe,Any,Omnivore,Low (5-7),K (C),Lawful evil,45467,8,3,1-Jan,20,1,3-Jan,Nil,Nil,Nil,T (2' tall),Average (8-10),35
"Mold, Chromatic",Underdark,Uncommon,Patch,Any,Carnivore,Non- (0),Nil,Neutral,1 patch,0,0 (special),2,Nil,1,Nil,"<i>Fascination</i>, spore infestation",Immune to nonfire attacks,Nil,S to L,,175<br>Sonic: 270
Moldman,Tropical or subtropical moist forests and caverns,Very rare,Tribe,Any,Carnivore,Low (5-7),"O,P",Neutral,6-24 or 30-300,4,12,1 to 6,1 or 2 HD: 19<br>3 or 4 HD: 17<br>5 or 6 HD: 15,1,1-6 or by weapon,See below,See below,Nil,S-M (2-4½'),Average (8-10),"1 HD: 120<br>2 HD: 175<br>3 HD: 270<br>4 HD: 420<br>5 HD: 650<br>6 HD: 2,000"
Mongrelman,Any,Rare,Tribal,Night,Omnivore,Low to Average (5-10),(C),Lawful neutral,1-100,5,9,4-Jan,1-2 HD: 19<br>3-4 HD: 17,1,"1-4 (1 HD), 1-6 (2 HD), 1-8 (3 HD), 1-10 (4 HD) or by weapon type",Nil,"Camouflage, Mimicry",Nil,M (5-7' tall),Steady (12),1 HD: 35<br>2 HD: 65<br>3 HD: 120<br>4 HD: 175<br>Leader: 270
"Moon, Rogue",Wildspace,Very rare,,Any,Omnivore,Animal to low (1-7),Nil (incidental),Neutral,1,5,"3, Fl 18 (D)",15,5,"1, Special","1-10, Special",Paralyzing spines,Nil,Nil,H to G,Steady (11),"9,000"
Morin,Plains or steppe,Uncommon,Pack,Dusk,Scavenger,Animal (1),(Z),Neutral,45363,7,18,2,19,6,1-2 each,Swarm,Burrowing,Nil,S (1-2'),Special,120
Morkoth,Any aquatic,Very rare,Solitary,Night,Carnivore,Exceptional (15-16),(G),Chaotic evil,1,3,Sw 18,7,13,1,10-Jan,Hypnosis,Spell reflection,Nil,M (6' long),Elite (14),"1,400"
Mortiss,"Space/Non-moon, non-planet",Rare,Colony,Constant,Organic debris & solar energy,Non- (0),Nil,Neutral,1,4,1,1-100,20,1-6 per foe,1,Sting,"Withdraw into tubes, webs",Nil,Varies (2&rdquo; to 6' long),Fearless (20),Varies
Muckdweller,Temperate or tropical/Swamp,Rare,Tribal,Day,Omnivore,Average (8-10),"Q, (J,K,L,M,N)",Lawful evil,45432,6,"3, Sw 12",½,20,1,2-Jan,Water jet,Nil,Nil,T (1' high),Average (10),15
Mudman,Any pool,Very rare,Pack,Any,Dweomer,Non- (0),Nil,Neutral,2-12 (2d6),10,3,2,19,1,Special,"Mud-throwing, suffocation",See below,Nil,S (4' high),Special,175
Mummy,Desert subterranean,Rare,Pack,Night,,Low (5-7),P (D),Lawful evil,2-8 (2d4),3,6,6+3,13,1,12-Jan,"Fear, disease",See below,Nil,M (6'),Champion (15),"3,000"
"Mummy, Bog",Swamp,Rare,Solitary,Any,,Low (5-7),Nil,Chaotic evil,1,3,9,6,15,1,1d12,Disease. fear aura,"Rejuvenation, +1 or better magical weapons to hit, half damage from copper weapons",Immune to <i>charm</i> and <i>sleep</i> spells,M (5-6' tall),Champion (15-16),"3,000"
"Mummy, Greater","Any/Desert, Subterranean",Very rare,Solitary,Night,,Genius (17-18),V (A&times;2),Lawful evil,1,2,9,8+3 (base),11 (base),1,3d6,See below,See below,Nil,M (6' tall),Fanatic (17-18),"8,000 (base)"
Murderoid,Wildspace,Very rare,Solitary,Any,Omnivore,High (13-14),Nil,Neutral evil,1 or 1-4,0,Fl 12 (E),50,5,3-Jan,5-50 each,Spells,Spells,Nil,G (100-600 miles diameter),Champion (16),"51,000"
Myconid,Subterranean,Rare,Communal,Day,Herbivore,Average (8-10),S&times;2,Lawful neutral,1-12; 20-200 in lair,10,9,6-Jan,1-2 HD: 19<br>3-4 HD: 17<br>5-6 HD: 15,1,1d4&times;HD,Spore Clouds,Poisonous Skin,Nil,T-L (2' per HD),Steady (12) to Elite (13),1 HD: 65<br>2 HD: 120<br>3 HD: 175<br>4 HD: 270<br>5 HD: 420<br>6 HD: 650
Myrlochar,Any,Very rare (Uncommon in Abyss),Hunting packs,Any,Carnivore,Very (11-12),Nil,Chaotic evil,45303,4,"8, Wb 16",6+6,1 5,3,2-5/2-5/2-12,See below,See below,30%,M (6' diameter),Champion (15),"4,000"
"Naga, Bone",Any land,Very rare,Solitary or groups (guardians),Any,,Exceptional (15-16),Any (as guardian),Lawful evil,1 or 1d12,6,12,7,13,2,1d4 plus special/3d4,Spells,See below,Nil,L (up to 12' long),Fearless (19-20),"4,000"
"Naga, Dark",Any except arctic/any land,Very rare,"Trios, pairs, alone or work with other lawful evil creatures",Any,Carnivore,Exceptional (16),"S,T,W",Lawful evil,1-3 (usually 1),6,13,9,11,2,1-4/2-8,See below,Nil,Nil,L (up to 12' long),Champion (15),"4,000"
"Nautilus, Giant",Any sea,Very rare,Solitary,Any,Carnivore,Genius (17-18),Nil,Neutral,1,-3 (shell) or 3 (body),Sw 18,14,7,21,1d8 (&times;20)/5d4,See below,See below,20%,G (50'+ diameter),Champion (15-16),"15,000"
Nawidnehr,Temperate and Tropical Ocean,Very rare,Solitary,Any,Carnivore,High to Exceptional (13-16),"(J,K,W)",Chaotic evil,1,-2,"12, Sw 24",12+1,9,1,5d4+5,"Roar, swallow whole",Hit only by +1 or iron weapons,Nil,H (30' long),Fanatic (17-18),"7,000"
Nay-Churr,Space,Very rare,Solitary,Any,Omnivore,Animal (1),See below,Neutral,1,-0.071428571,Fl 3 (E); see below,15 to 25,See below,See below,See below,Swallowing,Convulsion,Nil,H (200'+ long),Nil,"10,000"
Needleman,Temperate forests,Very rare,Grove,Day,Photosynthetic carnivore,Low (5-7),M (G),Neutral,18384,6,9,3+4,17,1,3d4,"Surprise, needle volley",See below,Nil,M (6' tall),Steady (12),120
Neh-thalggu,Any,Very rare,Solitary,Any,Brains,Very (11-12),Nil,Chaotic neutral,1,2,18,10,11,1,1d10 (bite),Spells,Spells,Nil,L (10' long),Elite (14),"2,000"
Neothelid,Subterranean,Very rare (possibly unique),Solitary,Any,Brains,Genius (17-18),Nil,Lawful evil,1,0,9,16,5,6d6 or 3d6 (x4),1 (bite) or 4 (tentacles),"Breath weapon, psionics",Nil,0.45%,G (120' tall),Fearless (20),"20,000"
Netherbird,"Crags, moors",Rare,Flock,Day,Flesh and carrion,Low (5-7),Nil,Lawful Evil,3-30 (3d10),8,"4""// 15""",2,16,3,2-5/2-5/1-4,Nil,Nil,Nil,S to M,Average (8-10),35
Night Rider,Any (guardian),Rare,Solitary or group,Any,,Low (5-7),V (magical weapons possible),Lawful Evil,45375,7,10,As in life,As in life,As in life,1-8 or by weapon type,Chill touch,"<i>Protection from good</i>, <i>darkness</i>",Special,M,Very Steady (13),650 (varies)
Nightmare,Lower Planes,Very rare,Solitary,Any,Carnivore,Very (11-12),Nil,Neutral evil,1,-4,"15, F1 36 (C)",6+6,15,3,2d4+2/2d4+2/2d4,Burning hooves,Paralyzing cloud,Nil,L (6' at shoulder),Elite (13-14),"2,000"
Nightshade (Toril),Any forests and caves,Uncommon,Tribal,Night,Blood and bones,Average (10),"B,X",Neutral evil,1-4 or 3-30,7,9,1+4,19,1,2-5(1d4+1) or by weapon type,"Poisonous sap, spells","Immune to wooden weapons, spells",Nil,M (4' high),Elite (14),270
Nishruu,Any,Very rare,Solitary,Any,Magic,High (13-14),Nil,Chaotic neutral,1,10,6,9,11,0,Nil,Absorb magic,See below,See below,L (12'-diameter sphere),Champion (15-16),"2,000"
Noran,Subterranean,Very rare,Solitary,Any,Carnivore,Very (11-12),Nil,Neutral,1,2,3,9+5,11,2,1d8 (&times;2),Projectiles,Nil,30%,L (11' tall),Champion (15-16),"2,000"
Nymph,Any,Very rare,Solitary,Day,,Exceptional (15-16),"Q (Q&times;10,X)",Neutral (good),45295,9,12,3,17,0,Nil,See below,See below,50%,M (4-6'),Unsteady (7),"1,400"
"Nymph, Grain",Farmland,Rare,Solitary,Any,,Exceptional (16),Nil,Neutral,45293,7,15,3,17,0,Nil,"Intoxication, marking",Animal friendship,50%,M (4-6' tall),Unsteady (7),975
"Nymph, Unseelie",Any,Very rare,Solitary,Any,,Exceptional (16),"Q (Q&times;10,X)",Neutral evil,1,7,12,4,17,0,Nil,"<i>Charm</i>, withering",<i>Dimension door</i>,50%,M (4-6' tall),Average (10),"2,000"
Nyth,Any,Rare,Solitary,Any,Carnivore,High (13-14),Nil (Any as guardian),Lawful evil,1,1,Fl 18 (A),7,13,1,1d4,Magic missile,See below,44%,S (2-4' diameter),Fanatic (17),"4,000"
Obliviax,Any land,Rare,Plant,Any,"Soil and water, memories",Average (8),Nil,Neutral evil,45334,10,0,1-2 hp,20,0,Nil,See below,See below,Nil,Tiny (½' square),Average (9),35
"Octopus, Giant",Any salt water,Rare,Solitary,Night,Carnivore,Animal (1),(R),Neutral (evil),45294,7,"3, Sw 12",8,13,7,1-4 (&times;6)/2-12,Constriction,"Ink, color change",Nil,Large (9-12' across),Elite (13),"2,000"
Ogre,"Tropical, subtropical, and temperate/Plain, swamp, forest, jungle, hill, mountain, subterranean",Common,Tribe,Any,Carnivore,Low (5-7),"Individual: M&times;10; Tribe: Q,S,B",Chaotic evil,45342,5,9,4+1,17,1,1-10 (weapon),+2 to damage,Nil,Nil,L (7-9' tall),Steady (11),175
"Ogre, High","Tropical, subtropical, and temperate/Plain, forest, swamp, jungle, hill, mountain",Very rare,Family,Any,Herbivore,Varies (5-20),"Individual: L,M; Family: Q&times;5,F","Varies, but usually neutral or lawful good",45301,8 (10),6 (9),4+1,17,1,1-10 (weapon),+2 to damage,See below,See below,M (6' tall),Steady (12),Varies
"Ogre, Ice Spire","Ice Spires, arctic",Uncommon,Tribal,Any,Carnivore,Average (8-10),"M (Q,B,S)",Chaotic evil,2d10,4,12,5,15,1,1d12 (or weapon +6),"Mist, blood dance",Nil,Nil,L (10'),Elite (13-14),"420<br>Leader: 975<br>Priest: 1,400"
"Ogre, Mischta","Tropical, subtropical, and temperate/Plains, forests, swamps, jungles, hills, and mountains",Very rare,Family,Any,Herbivore,Varies (5-20),"Individual: L,M; Family: Q&times;5,F","Varies, but usually neutral or lawful good",45301,8 (10),6,4+1,17,1,1-10 (weapon),+2 to damage,See below,See below,M (6' tall),Steady (12),Varies
"Ogre, Nzunta","Tropical, subtropical, and temperate/Plains, forests, swamps, jungles, hills, and mountains",Very rare,Family,Any,Carnivore,Varies (5-20),"Individual: L,M; Family: Q&times;5,F","Varies, but usually neutral or lawful evil",45295,6,6,4+1,17,1,1-10 (weapon),+2 to damage,See below,See below,M (6' tall),Steady (12),Varies
"Ooze/Slime/Jelly, Ghaunadan",Subterranean,Rare,Solitary,Any,Carnivore,Very to High (12-14),J (B),Chaotic evil,45295,1,12,5,15,2,3d4,"Paralysis, <i>friends</i> gaze","Half damage from blunt weapons, disarming",Nil,M (6'),Fanatic (17),"4,000"
"Ooze/Slime/Jelly, Slithering Tracker",Subterranean,Rare,Solitary,Any,Living plasma,Average (8-10),C,Neutral,1,5,12,5,15,1,Nil,Paralyzation,Transparency,Nil,S (3' long),Champion (15),975
Ophidian,"Tropical jungle, underground",Uncommon,Clan,Day,Carnivore,Low to very (5-12),U,Chaotic neutral,3d4,5 (base),"9, Sw 18",3 or 4,17,2,1d3 and by weapon,See below,Camouflage,Nil,M (5-6' long),Unsteady (5-7),3 HD: 175<br>4 HD: 270
Opinicus,Any surface ruins,Very rare,Solitary,Any,Omnivore,Very to exceptional (11-16),A,Chaotic good,45293,-2,"21, Fl 30 (B)",7+7,13,2,1-3/1-3,"Spells, rear claws for 1d6/1d6","Spells, gaze",35%,"M (3' at shoulder, 12'-wingspan)",Steady (11-12),"10,000"
Orc,Any land,Common,Tribe,Night,Carnivore,Average (8-10),"L (C,O,Q&times;10,S)",Lawful evil,30-300 (3d10&times;10),6 (10),9 (12),1,19,1,1-8 (weapon),Nil,Nil,Nil,M (6' tall),Steady (11-12),"15<br>Subchief, leader: 35<br>Guard: 35<br>Chief: 65<br>Bodyguard: 65<br>Shaman, 1st: 35<br>Shaman, 3rd: 175<br>Shaman, 5th: 650"
"Orc, Ondonti",Any land,Rare,Tribe,Any,Omnivore,Average (8-10),Nil,Lawful good,22190,10 (6 with barkskin),12,1 (clerics to 7th level),19,1 (see below),By weapon,Nil,"<i>Sanctuary</i>, <i>barkskin</i>, <i>tree</i>, immune to <i>charm</i>, + 1 save vs. poison (priest spells)",Nil,M (6' tall),Average (8-10),"120<br>Cleric, 1st: 175<br>Cleric, 2nd: 270<br>Cleric, 3rd: 420<br>Cleric, 4th: 650<br>Cleric, 5th: 975<br>Cleric, 6th: 1,400<br>Cleric, 7th: 2,000"
